"id";"Formatted_Addres";"Status";"Latitude";"Longitude"
1;"Atlanta, GA 30384, USA";"OK";34;-84
2;"1775 S West St, Indianapolis, IN 46225, USA";"OK";40;-86
3;"unit 04 7 f no, Bright Way Tower, 33 Mong Kok Rd, Hong Kong";"OK";22;114
4;"22647 Ventura Blvd #527, Woodland Hills, CA 91364, USA";"OK";34;-119
5;"9890 Cherry Ave, Fontana, CA 92335, USA";"OK";34;-117
6;"909 E Pont Des Mouton Rd, Lafayette, LA 70507, USA";"OK";30;-92
7;"Lauro Aguirre 1012, Residencial Selectas, 87050 José María Morelos y Pavón, Tamps., Mexico";"OK";24;-99
8;"1333 Cedarpoint Ct, Amelia, OH 45102, USA";"OK";39;-84
9;"Leibnitz 11, Anzures, 11590 Ciudad de México, CDMX, Mexico";"OK";19;-99
10;"Calle Honduras, Nueva Concepción, Guatemala";"OK";14;-91
11;"1599 Maritime St, Oakland, CA 94607, USA";"OK";38;-122
12;"485387 30 Side Rd, Shelburne, ON L0N 1S4, Canada";"OK";44;-80
13;"380 New York St, Redlands, CA 92373, USA";"OK";34;-117
14;"909 W Pont Des Mouton Rd, Lafayette, LA 70507, USA";"OK";30;-92
15;"8429 Katy Fwy, Houston, TX 77024, USA";"OK";30;-95
16;"Av Santos Degollado 555_D, Alamitos, 78280 San Luis, S.L.P., Mexico";"OK";22;-101
17;"1501 175th St, Homewood, IL 60430, USA";"OK";42;-88
18;"Laflin Ave, Hazel Crest, IL 60429, USA";"OK";42;-88
19;"Av. Paulista, 2073 - Cerqueira César, São Paulo - SP, 01311-940, Brazil";"OK";-24;-47
20;"Houston, TX 77020, USA";"OK";30;-95
21;"18127 Holly Green Dr, Houston, TX 77084, USA";"OK";30;-96
22;"Calle Ricardo Flores Magón 9, Hank Gonzalez, 55520 Ecatepec de Morelos, Méx., Mexico";"OK";20;-99
23;"Av. Morelos 90, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx., Mexico";"OK";20;-99
24;"Kingstree, SC 29556, USA";"OK";34;-80
